Question,Response
Who discovered gravity?,Sir Isaac Newton discovered gravity.
What does HTML stand for?,HTML stands for HyperText Markup Language.
What is the square root of 64?,The square root of 64 is 8.
What is the powerhouse of the cell?,The mitochondrion is known as the powerhouse of the cell.
What is the capital of France?,The capital of France is Paris.
What is the speed of light?,"The speed of light is approximately 299,792,458 meters per second."
Who wrote 'Hamlet'?,William Shakespeare wrote 'Hamlet'.
What is the square root of 64?,The square root of 64 is 8.
What is the capital of France?,The capital of France is Paris.
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.
Who wrote 'Hamlet'?,William Shakespeare wrote 'Hamlet'.
Who discovered gravity?,Sir Isaac Newton discovered gravity.
What is Newton's second law of motion?,Newton's second law states that Force = Mass × Acceleration.
What is the square root of 64?,The square root of 64 is 8.
Who wrote 'Hamlet'?,William Shakespeare wrote 'Hamlet'.
What does HTML stand for?,HTML stands for HyperText Markup Language.
What is Newton's second law of motion?,Newton's second law states that Force = Mass × Acceleration.
Who wrote 'Hamlet'?,William Shakespeare wrote 'Hamlet'.
What does HTML stand for?,HTML stands for HyperText Markup Language.
What is the speed of light?,"The speed of light is approximately 299,792,458 meters per second."
Who discovered gravity?,Sir Isaac Newton discovered gravity.
Who discovered gravity?,Sir Isaac Newton discovered gravity.
What is Newton's second law of motion?,Newton's second law states that Force = Mass × Acceleration.
What does HTML stand for?,HTML stands for HyperText Markup Language.
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.
Who developed the theory of relativity?,Albert Einstein developed the theory of relativity.
Who discovered gravity?,Sir Isaac Newton discovered gravity.
Who discovered gravity?,Sir Isaac Newton discovered gravity.
What does HTML stand for?,HTML stands for HyperText Markup Language.
What is the powerhouse of the cell?,The mitochondrion is known as the powerhouse of the cell.
What is the speed of light?,"The speed of light is approximately 299,792,458 meters per second."
What is Newton's second law of motion?,Newton's second law states that Force = Mass × Acceleration.
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.
What is the capital of France?,The capital of France is Paris.
What is the square root of 64?,The square root of 64 is 8.
Who wrote 'Hamlet'?,William Shakespeare wrote 'Hamlet'.
Who discovered gravity?,Sir Isaac Newton discovered gravity.
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.
What does HTML stand for?,HTML stands for HyperText Markup Language.
What is the capital of France?,The capital of France is Paris.
What is the square root of 64?,The square root of 64 is 8.
Who wrote 'Hamlet'?,William Shakespeare wrote 'Hamlet'.
Who discovered gravity?,Sir Isaac Newton discovered gravity.
Who discovered gravity?,Sir Isaac Newton discovered gravity.
What is the capital of France?,The capital of France is Paris.
What is the speed of light?,"The speed of light is approximately 299,792,458 meters per second."
What is the powerhouse of the cell?,The mitochondrion is known as the powerhouse of the cell.
What is the capital of France?,The capital of France is Paris.
What is the square root of 64?,The square root of 64 is 8.
Who discovered gravity?,Sir Isaac Newton discovered gravity.
What is the powerhouse of the cell?,The mitochondrion is known as the powerhouse of the cell.
What is the powerhouse of the cell?,The mitochondrion is known as the powerhouse of the cell.
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.
What does HTML stand for?,HTML stands for HyperText Markup Language.
Who discovered gravity?,Sir Isaac Newton discovered gravity.
Who wrote 'Hamlet'?,William Shakespeare wrote 'Hamlet'.
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.
What is the square root of 64?,The square root of 64 is 8.
What does HTML stand for?,HTML stands for HyperText Markup Language.
What is the speed of light?,"The speed of light is approximately 299,792,458 meters per second."
